antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
Cryptography,"Incident Response, Firewalls",0.028072033898305086,0.024364406779661018,0.021716101694915255,0.7735849056603774,31.750615258408533,1.0,0.021032143241884516,4.309057203389831,0.9964777031966504,0.706896551724138,0.767930674205642,0.8324446267432322
"Incident Response, Firewalls",Cryptography,0.024364406779661018,0.028072033898305086,0.021716101694915255,0.8913043478260869,31.75061525840853,1.0,0.021032143241884516,8.94173728813559,0.9926908715341224,0.706896551724138,0.8881649093709276,0.8324446267432322
"Incident Response, Network Security",Penetration Testing,0.02489406779661017,0.02913135593220339,0.022775423728813558,0.9148936170212766,31.40580270793037,1.0,0.022050225779230104,11.407706567796609,0.9928754594949661,0.728813559322034,0.912339961230862,0.8483558994197291
Penetration Testing,"Incident Response, Network Security",0.02913135593220339,0.02489406779661017,0.022775423728813558,0.7818181818181817,31.405802707930366,1.0,0.022050225779230104,4.4692355225988685,0.997208794833733,0.728813559322034,0.7762480865142461,0.8483558994197291
Cryptography,"Incident Response, Python",0.028072033898305086,0.025423728813559324,0.022245762711864406,0.7924528301886792,31.16981132075471,1.0,0.021532066934788853,4.695685670261939,0.9958738808875048,0.711864406779661,0.7870385561936012,0.8337264150943395
"Incident Response, Python",Cryptography,0.025423728813559324,0.028072033898305086,0.022245762711864406,0.8749999999999999,31.16981132075471,1.0,0.021532066934788853,7.775423728813553,0.9931677018633541,0.711864406779661,0.8713896457765666,0.8337264150943395
Penetration Testing,"Network Security, Linux",0.02913135593220339,0.028072033898305086,0.025423728813559324,0.8727272727272728,31.08885077186964,1.0,0.02460595240232692,7.636576876513321,0.9968744317148572,0.8,0.8690512756997771,0.8891938250428817
"Network Security, Linux",Penetration Testing,0.028072033898305086,0.02913135593220339,0.025423728813559324,0.9056603773584906,31.08885077186964,1.0,0.02460595240232692,10.291207627118647,0.9957879200726613,0.8,0.9028296740059085,0.8891938250428817
Incident Response,"Network Security, Cryptography",0.028072033898305086,0.02489406779661017,0.021716101694915255,0.7735849056603774,31.07507025291048,1.0,0.02101727457986211,4.306717867231639,0.9957732438359805,0.6949152542372883,0.7678046180808216,0.8229626655961462
"Incident Response, Network Security",Cryptography,0.02489406779661017,0.028072033898305086,0.021716101694915255,0.8723404255319149,31.07507025291048,1.0,0.02101727457986211,7.6134357344632795,0.992527920933745,0.6949152542372883,0.8686532552611747,0.8229626655961462
"Network Security, Cryptography",Incident Response,0.02489406779661017,0.028072033898305086,0.021716101694915255,0.8723404255319149,31.07507025291048,1.0,0.02101727457986211,7.6134357344632795,0.992527920933745,0.6949152542372883,0.8686532552611747,0.8229626655961462
Cryptography,"Incident Response, Network Security",0.028072033898305086,0.02489406779661017,0.021716101694915255,0.7735849056603774,31.07507025291048,1.0,0.02101727457986211,4.306717867231639,0.9957732438359805,0.6949152542372883,0.7678046180808216,0.8229626655961462
"Cryptography, Penetration Testing",Incident Response,0.023834745762711863,0.028072033898305086,0.02065677966101695,0.8666666666666667,30.872955974842768,1.0,0.01998768987000862,7.289459745762714,0.9912350265036104,0.6610169491525424,0.8628156221616713,0.8012578616352202
Incident Response,"Cryptography, Penetration Testing",0.028072033898305086,0.023834745762711863,0.02065677966101695,0.7358490566037735,30.872955974842768,1.0,0.01998768987000862,3.695482748184019,0.9955564871096206,0.6610169491525424,0.7293993591252981,0.8012578616352202
"Network Security, Cryptography",Penetration Testing,0.02489406779661017,0.02913135593220339,0.022245762711864406,0.8936170212765957,30.67543520309478,1.0,0.021520564762280953,9.126165254237284,0.9920979798763612,0.7000000000000001,0.8904249515385776,0.8286266924564797
Penetration Testing,"Network Security, Cryptography",0.02913135593220339,0.02489406779661017,0.022245762711864406,0.7636363636363637,30.67543520309478,1.0,0.021520564762280953,4.12544817470665,0.9964279219598369,0.7000000000000001,0.7576020937237667,0.8286266924564797
"Cryptography, Python",Incident Response,0.025953389830508475,0.028072033898305086,0.022245762711864406,0.8571428571428571,30.533692722371963,1.0,0.021517198272766446,6.803495762711862,0.9930215696936739,0.7000000000000001,0.8530167380303619,0.8247978436657681
Incident Response,"Cryptography, Python",0.028072033898305086,0.025953389830508475,0.022245762711864406,0.7924528301886792,30.533692722371963,1.0,0.021517198272766446,4.693133667180276,0.9951861943687557,0.7000000000000001,0.7869227533421568,0.8247978436657681
