source,target,lift,confidence
Cryptography,Incident Response,31.750615258408533,0.7735849056603774
Cryptography,Firewalls,31.750615258408533,0.7735849056603774
Incident Response,Cryptography,31.75061525840853,0.8913043478260869
Firewalls,Cryptography,31.75061525840853,0.8913043478260869
Incident Response,Penetration Testing,31.40580270793037,0.9148936170212766
Network Security,Penetration Testing,31.40580270793037,0.9148936170212766
Penetration Testing,Incident Response,31.405802707930366,0.7818181818181817
Penetration Testing,Network Security,31.405802707930366,0.7818181818181817
Cryptography,Incident Response,31.16981132075471,0.7924528301886792
Cryptography,Python,31.16981132075471,0.7924528301886792
Incident Response,Cryptography,31.16981132075471,0.8749999999999999
Python,Cryptography,31.16981132075471,0.8749999999999999
Penetration Testing,Network Security,31.08885077186964,0.8727272727272728
Penetration Testing,Linux,31.08885077186964,0.8727272727272728
Network Security,Penetration Testing,31.08885077186964,0.9056603773584906
Linux,Penetration Testing,31.08885077186964,0.9056603773584906
Incident Response,Network Security,31.07507025291048,0.7735849056603774
Incident Response,Cryptography,31.07507025291048,0.7735849056603774
Incident Response,Cryptography,31.07507025291048,0.8723404255319149
Network Security,Cryptography,31.07507025291048,0.8723404255319149
Network Security,Incident Response,31.07507025291048,0.8723404255319149
Cryptography,Incident Response,31.07507025291048,0.8723404255319149
Cryptography,Incident Response,31.07507025291048,0.7735849056603774
Cryptography,Network Security,31.07507025291048,0.7735849056603774
Cryptography,Incident Response,30.872955974842768,0.8666666666666667
Penetration Testing,Incident Response,30.872955974842768,0.8666666666666667
Incident Response,Cryptography,30.872955974842768,0.7358490566037735
Incident Response,Penetration Testing,30.872955974842768,0.7358490566037735
Network Security,Penetration Testing,30.67543520309478,0.8936170212765957
Cryptography,Penetration Testing,30.67543520309478,0.8936170212765957
Penetration Testing,Network Security,30.67543520309478,0.7636363636363637
Penetration Testing,Cryptography,30.67543520309478,0.7636363636363637
Cryptography,Incident Response,30.533692722371963,0.8571428571428571
Python,Incident Response,30.533692722371963,0.8571428571428571
Incident Response,Cryptography,30.533692722371963,0.7924528301886792
Incident Response,Python,30.533692722371963,0.7924528301886792
Cryptography,Incident Response,30.533692722371963,0.7924528301886792
Cryptography,Linux,30.533692722371963,0.7924528301886792
Cryptography,Incident Response,30.533692722371963,0.8571428571428571
Linux,Incident Response,30.533692722371963,0.8571428571428571
